"File,Name",ObjectName,Execution,Timestamp,ErrorLog,Failed_SFQID,ExecutionTime(mins)
input.sql,select current_timestamp,SUCCESS,2021-02-01 18:25:23,,
input.sql,USE DATABASE COMM_US_ETL_DEV_DB,SUCCESS,2021-02-01 18:25:23,,
input.sql,USE DATABASE COMM_US_PUB_DEV_DB,SUCCESS,2021-02-01 18:25:23,,
input2.sql,1select 1,FAIL,2021-02-01 18:25:23,001003 (42000): 0199ffe7-0472-1b91-0025-900301cb5852: SQL compilation error: syntax error line 1 at position 0 unexpected '1'.,0199ffe7-0472-1b91-0025-900301cb5852
input3.sql,"select 1,2,3,4",SUCCESS,2021-02-01 18:25:24,,
input.sql,select current_timestamp,SUCCESS,2021-02-01 18:45:48,,
input.sql,USE DATABASE COMM_US_ETL_DEV_DB,SUCCESS,2021-02-01 18:45:48,,
input.sql,USE DATABASE COMM_US_PUB_DEV_DB,SUCCESS,2021-02-01 18:45:48,,
input2.sql,1select 1,FAIL,2021-02-01 18:45:48,001003 (42000): 0199fffb-06e7-df33-0018-7083043c867a: SQL compilation error: syntax error line 1 at position 0 unexpected '1'.,0199fffb-06e7-df33-0018-7083043c867a
input3.sql,"select 1,2,3,4",SUCCESS,2021-02-01 18:45:49,,
input.sql,select current_timestamp,SUCCESS,2021-02-01 18:49:00,,
input.sql,USE DATABASE COMM_US_ETL_DEV_DB,SUCCESS,2021-02-01 18:49:01,,
input.sql,USE DATABASE COMM_US_PUB_DEV_DB,SUCCESS,2021-02-01 18:49:01,,
input2.sql,1select 1,FAIL,2021-02-01 18:49:01,001003 (42000): 0199ffff-04d1-b8ae-0025-900301cb6a26: SQL compilation error: syntax error line 1 at position 0 unexpected '1'.,0199ffff-04d1-b8ae-0025-900301cb6a26
input3.sql,"select 1,2,3,4",SUCCESS,2021-02-01 18:49:01,,
input.sql,select current_timestamp,SUCCESS,2021-02-01 18:57:06,,
input.sql,USE DATABASE COMM_US_ETL_DEV_DB,SUCCESS,2021-02-01 18:57:06,,
input.sql,USE DATABASE COMM_US_PUB_DEV_DB,SUCCESS,2021-02-01 18:57:06,,
input3.sql,"select 1,2,3,4",SUCCESS,2021-02-01 18:57:07,,
input2.sql,1select 1,FAIL,2021-02-01 19:03:24,001003 (42000): 019a000d-06fd-21b6-0018-7083043c8aca: SQL compilation error: syntax error line 1 at position 0 unexpected '1'.,019a000d-06fd-21b6-0018-7083043c8aca
